timestamp,stage,occurrence,block,point,allocated,reserved,active,inactive_split,free,total,adaln_cache,opt_student,opt_fake,params,boundary
2026-08-19 15:17:49.315,block_11_post,1,11,post,6945381376,18836619264,6945381376,0,22641246208,42298834944,9676800,0,0,"{""all"": 69047622144, ""frozen"": 66280430080, ""lora_fake"": 1383596032, ""lora_student"": 1383596032}","{""cpu_copy_count"": 0, ""offloaded_logical_bytes"": 0, ""offloaded_storage_bytes"": 0, ""pack_count"": 0, ""unpack_count"": 0}"
2026-08-19 15:17:49.327,block_12_pre,1,12,pre,7363649536,18836619264,7363649536,0,22641246208,42298834944,9676800,0,0,"{""all"": 69047622144, ""frozen"": 66280430080, ""lora_fake"": 1383596032, ""lora_student"": 1383596032}","{""cpu_copy_count"": 0, ""offloaded_logical_bytes"": 0, ""offloaded_storage_bytes"": 0, ""pack_count"": 0, ""unpack_count"": 0}"
2026-08-19 15:17:49.339,block_12_post,1,12,post,6945381376,18836619264,6945381376,0,22641246208,42298834944,9676800,0,0,"{""all"": 69047622144, ""frozen"": 66280430080, ""lora_fake"": 1383596032, ""lora_student"": 1383596032}","{""cpu_copy_count"": 0, ""offloaded_logical_bytes"": 0, ""offloaded_storage_bytes"": 0, ""pack_count"": 0, ""unpack_count"": 0}"
2026-08-19 15:17:49.353,block_13_pre,1,13,pre,7363649536,18836619264,7363649536,0,22641246208,42298834944,9676800,0,0,"{""all"": 69047622144, ""frozen"": 66280430080, ""lora_fake"": 1383596032, ""lora_student"": 1383596032}","{""cpu_copy_count"": 0, ""offloaded_logical_bytes"": 0, ""offloaded_storage_bytes"": 0, ""pack_count"": 0, ""unpack_count"": 0}"
2026-08-19 15:17:49.371,block_13_post,1,13,post,6945381376,18836619264,6945381376,0,22641246208,42298834944,9676800,0,0,"{""all"": 69047622144, ""frozen"": 66280430080, ""lora_fake"": 1383596032, ""lora_student"": 1383596032}","{""cpu_copy_count"": 0, ""offloaded_logical_bytes"": 0, ""offloaded_storage_bytes"": 0, ""pack_count"": 0, ""unpack_count"": 0}"
2026-08-19 15:17:49.393,block_14_pre,1,14,pre,7363649536,18836619264,7363649536,0,22641246208,42298834944,9676800,0,0,"{""all"": 69047622144, ""frozen"": 66280430080, ""lora_fake"": 1383596032, ""lora_student"": 1383596032}","{""cpu_copy_count"": 0, ""offloaded_logical_bytes"": 0, ""offloaded_storage_bytes"": 0, ""pack_count"": 0, ""unpack_count"": 0}"
2026-08-19 15:17:49.406,block_14_post,1,14,post,6945381376,18836619264,6945381376,0,22641246208,42298834944,9676800,0,0,"{""all"": 69047622144, ""frozen"": 66280430080, ""lora_fake"": 1383596032, ""lora_student"": 1383596032}","{""cpu_copy_count"": 0, ""offloaded_logical_bytes"": 0, ""offloaded_storage_bytes"": 0, ""pack_count"": 0, ""unpack_count"": 0}"
2026-08-19 15:17:49.419,block_15_pre,1,15,pre,7363649536,18836619264,7363649536,0,22641246208,42298834944,9676800,0,0,"{""all"": 69047622144, ""frozen"": 66280430080, ""lora_fake"": 1383596032, ""lora_student"": 1383596032}","{""cpu_copy_count"": 0, ""offloaded_logical_bytes"": 0, ""offloaded_storage_bytes"": 0, ""pack_count"": 0, ""unpack_count"": 0}"
2026-08-19 15:17:49.513,block_15_post,1,15,post,6945381376,18836619264,6945381376,0,22641246208,42298834944,9676800,0,0,"{""all"": 69047622144, ""frozen"": 66280430080, ""lora_fake"": 1383596032, ""lora_student"": 1383596032}","{""cpu_copy_count"": 0, ""offloaded_logical_bytes"": 0, ""offloaded_storage_bytes"": 0, ""pack_count"": 0, ""unpack_count"": 0}"
2026-08-19 15:17:49.525,block_16_pre,1,16,pre,7363649536,18836619264,7363649536,0,22641246208,42298834944,9676800,0,0,"{""all"": 69047622144, ""frozen"": 66280430080, ""lora_fake"": 1383596032, ""lora_student"": 1383596032}","{""cpu_copy_count"": 0, ""offloaded_logical_bytes"": 0, ""offloaded_storage_bytes"": 0, ""pack_count"": 0, ""unpack_count"": 0}"
2026-08-19 15:17:49.866,block_16_post,1,16,post,6945381376,18836619264,6945381376,0,22641246208,42298834944,9676800,0,0,"{""all"": 69047622144, ""frozen"": 66280430080, ""lora_fake"": 1383596032, ""lora_student"": 1383596032}","{""cpu_copy_count"": 0, ""offloaded_logical_bytes"": 0, ""offloaded_storage_bytes"": 0, ""pack_count"": 0, ""unpack_count"": 0}"
2026-08-19 15:17:49.878,block_17_pre,1,17,pre,7363649536,18836619264,7363649536,0,22641246208,42298834944,9676800,0,0,"{""all"": 69047622144, ""frozen"": 66280430080, ""lora_fake"": 1383596032, ""lora_student"": 1383596032}","{""cpu_copy_count"": 0, ""offloaded_logical_bytes"": 0, ""offloaded_storage_bytes"": 0, ""pack_count"": 0, ""unpack_count"": 0}"
2026-08-19 15:17:50.222,block_17_post,1,17,post,6945381376,18836619264,6945381376,0,22641246208,42298834944,9676800,0,0,"{""all"": 69047622144, ""frozen"": 66280430080, ""lora_fake"": 1383596032, ""lora_student"": 1383596032}","{""cpu_copy_count"": 0, ""offloaded_logical_bytes"": 0, ""offloaded_storage_bytes"": 0, ""pack_count"": 0, ""unpack_count"": 0}"
2026-08-19 15:17:50.235,block_18_pre,1,18,pre,7363649536,18836619264,7363649536,0,22641246208,42298834944,9676800,0,0,"{""all"": 69047622144, ""frozen"": 66280430080, ""lora_fake"": 1383596032, ""lora_student"": 1383596032}","{""cpu_copy_count"": 0, ""offloaded_logical_bytes"": 0, ""offloaded_storage_bytes"": 0, ""pack_count"": 0, ""unpack_count"": 0}"
2026-08-19 15:17:50.577,block_18_post,1,18,post,6945381376,18836619264,6945381376,0,22641246208,42298834944,9676800,0,0,"{""all"": 69047622144, ""frozen"": 66280430080, ""lora_fake"": 1383596032, ""lora_student"": 1383596032}","{""cpu_copy_count"": 0, ""offloaded_logical_bytes"": 0, ""offloaded_storage_bytes"": 0, ""pack_count"": 0, ""unpack_count"": 0}"
2026-08-19 15:17:50.589,block_19_pre,1,19,pre,7363649536,18836619264,7363649536,0,22641246208,42298834944,9676800,0,0,"{""all"": 69047622144, ""frozen"": 66280430080, ""lora_fake"": 1383596032, ""lora_student"": 1383596032}","{""cpu_copy_count"": 0, ""offloaded_logical_bytes"": 0, ""offloaded_storage_bytes"": 0, ""pack_count"": 0, ""unpack_count"": 0}"
2026-08-19 15:17:50.928,block_19_post,1,19,post,6945381376,18836619264,6945381376,0,22641246208,42298834944,9676800,0,0,"{""all"": 69047622144, ""frozen"": 66280430080, ""lora_fake"": 1383596032, ""lora_student"": 1383596032}","{""cpu_copy_count"": 0, ""offloaded_logical_bytes"": 0, ""offloaded_storage_bytes"": 0, ""pack_count"": 0, ""unpack_count"": 0}"
2026-08-19 15:17:50.940,block_20_pre,1,20,pre,7363649536,18836619264,7363649536,0,22641246208,42298834944,9676800,0,0,"{""all"": 69047622144, ""frozen"": 66280430080, ""lora_fake"": 1383596032, ""lora_student"": 1383596032}","{""cpu_copy_count"": 0, ""offloaded_logical_bytes"": 0, ""offloaded_storage_bytes"": 0, ""pack_count"": 0, ""unpack_count"": 0}"
2026-08-19 15:17:51.287,block_20_post,1,20,post,6945381376,18836619264,6945381376,0,22641246208,42298834944,9676800,0,0,"{""all"": 69047622144, ""frozen"": 66280430080, ""lora_fake"": 1383596032, ""lora_student"": 1383596032}","{""cpu_copy_count"": 0, ""offloaded_logical_bytes"": 0, ""offloaded_storage_bytes"": 0, ""pack_count"": 0, ""unpack_count"": 0}"
2026-08-19 15:17:51.300,block_21_pre,1,21,pre,7363649536,18836619264,7363649536,0,22641246208,42298834944,9676800,0,0,"{""all"": 69047622144, ""frozen"": 66280430080, ""lora_fake"": 1383596032, ""lora_student"": 1383596032}","{""cpu_copy_count"": 0, ""offloaded_logical_bytes"": 0, ""offloaded_storage_bytes"": 0, ""pack_count"": 0, ""unpack_count"": 0}"
2026-08-19 15:17:51.637,block_21_post,1,21,post,6945381376,18836619264,6945381376,0,22641246208,42298834944,9676800,0,0,"{""all"": 69047622144, ""frozen"": 66280430080, ""lora_fake"": 1383596032, ""lora_student"": 1383596032}","{""cpu_copy_count"": 0, ""offloaded_logical_bytes"": 0, ""offloaded_storage_bytes"": 0, ""pack_count"": 0, ""unpack_count"": 0}"
2026-08-19 15:17:51.649,block_22_pre,1,22,pre,7363649536,18836619264,7363649536,0,22641246208,42298834944,9676800,0,0,"{""all"": 69047622144, ""frozen"": 66280430080, ""lora_fake"": 1383596032, ""lora_student"": 1383596032}","{""cpu_copy_count"": 0, ""offloaded_logical_bytes"": 0, ""offloaded_storage_bytes"": 0, ""pack_count"": 0, ""unpack_count"": 0}"
